Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
220560,489,35.4,12.0,88,132,800,16.1,3.5,28.1,9,1135,70,134,3,0,12,0,66,51
212424,232,12.3,3.0,0,82,732,28.3,9.4,6.7,14,1285,219,154,3,0,2,1,65,152
20793,167,4.3,1.0,0,641,617,29.8,4.6,4.2,6,4517,28,52,2,0,3,0,45,35
19625,368,19.5,6.0,102,1165,597,10.5,1.6,36.1,6,762,7,216,4,0,10,1,60,19
272368,603,39.1,20.0,66,476,762,40.6,9.9,27.5,6,1155,23,110,8,0,10,1,111,111
208041,367,17.6,3.0,136,418,1015,5.7,1.8,44.8,3,1011,12,93,3,0,16,1,97,45
210520,277,7.9,1.0,0,31,741,39.8,2.1,13.8,5,1107,119,108,5,0,2,0,115,90
213244,343,21.4,13.0,175,71,314,13.8,4,25.1,3,486,8,142,5,0,5,0,40,23
270805,150,8.4,2.0,6,542,226,9,3.5,9.8,3,702,6,66,3,0,1,0,15,34
213232,328,12.4,2.0,0,108,1474,50.7,9.2,8.1,9,2898,183,138,5,0,6,1,99,74
21003,515,15.4,3.0,0,905,231,87.1,4.3,9.9,4,3113,10,41,2,0,1,0,23,27
222807,242,15.6,2.0,53,1305,354,8.1,2.3,18.1,3,392,7,44,3,0,7,0,29,19
183664,228,3,2.0,10,121,590,43.6,2.1,9.4,40,921,34,336,1,0,2,0,41,37
58312,90,2.3,1.0,8,42,128,15.6,1.1,2.2,13,69,1,92,1,0,1,0,10,3
93898,113,3.4,2.0,12,890,406,12.3,0.3,8.7,12,225,1,310,1,0,1,0,33,17
20435,50,1.1,1.0,4,51,167,6.4,0,3.8,6,36,1,131,0,0,0,0,12,8
236750,42,0.2,0.0,0,29,17,10.7,0.4,0.2,10,0,0,3,0,0,0,0,6,0
238362,270,3.6,2.0,12,126,842,52.1,3.1,10.7,40,230,12,334,0,0,2,1,63,42
236294,154,5.3,3.0,20,104,427,19,1,8.4,16,474,2,304,1,0,2,0,36,14
222513,145,3.6,2.0,15,81,282,22.6,0,6.1,22,346,0,220,0,0,1,0,22,9
32620,482,4.4,3.0,15,176,897,102.4,3.7,13.9,98,1708,59,470,0,0,3,0,60,56
241249,58,0.2,0.0,0,13,104,13.7,2.2,0.6,9,11,1,42,1,0,0,0,7,1
258801,150,6.4,2.0,0,168,561,22.3,4.8,2.3,11,539,4,255,6,0,1,0,47,6
141367,111,1.8,1.0,7,67,305,19.2,1.1,5.3,18,87,32,183,0,0,1,0,23,23
241638,88,1.1,1.0,3,36,140,18.2,1.6,2,15,86,0,101,1,0,1,0,16,2
54319,121,1.2,0.0,3,47,133,27.8,0,2.3,3,44,54,78,3,0,2,0,7,4
52277,232,6.2,4.0,21,104,489,37.6,4.4,9.4,31,486,1,342,1,0,2,0,58,15
155060,126,3,2.0,10,131,294,19.3,0.6,5.1,16,231,0,167,0,0,1,0,27,7
219292,31,0.1,0.0,< 1,22,83,6.5,0.3,1.2,6,62,0,50,0,0,0,0,9,1
58982,100,2.6,2.0,10,55,285,14.6,1.2,5,12,238,1,172,1,0,1,0,25,6
264349,228,9.6,6.0,36,159,538,23.9,0.1,12,23,428,2,419,0,0,2,0,40,24
206172,207,3.1,2.0,9,75,380,41.6,1.6,5.9,40,1252,24,198,0,0,1,0,26,23
32680,28,0,0.0,0,7,27,7.3,0.6,0.1,6,4,0,19,0,0,0,0,4,0
260769,639,34.5,21.0,40,240,560,65.1,0.1,18.1,65,711,0,676,0,0,3,0,40,18
172227,136,1.1,0.0,5,467,622,18.5,0.3,13.2,17,178,2,475,2,0,2,0,54,25
